Source,Target,Weight,Season
BELLE,DAVID,,4
BELLE,EMMA,,4
BELLE,HENRY,,4
BELLE,REGINA,,4
BELLE,RUMPLE,,4
BELLE,SNOW,,4
BELLE,HOOK,,4
BELLE,PAN,,4
BELLE,ZELENA,,4
BELLE,PINOCCHIO,,4
BELLE,JIMINY,,4
BELLE,HUNTSMAN,,4
BELLE,RUBY,,4
BELLE,MIRROR,,4
BELLE,GRANNY,,4
BELLE,GRUMPY,,4
BELLE,GEORGE,,4
BELLE,ABIGAIL,,4
BELLE,CINDERELLA,,4
BELLE,THOMAS,,4
BELLE,WHALE,,4
BELLE,GEPPETTO,,4
BELLE,BLUE,,4
BELLE,JEFFERSON,,4
BELLE,MALEFICENT,,4
BELLE,PRINCE_HENRY,,4
BELLE,KING,,4
BELLE,MARTIN,,4
BELLE,MYRNA,,4
BELLE,RUTH,,4
BELLE,MIDAS,,4
BELLE,ZOSO,,4
BELLE,BEALFIRE,,4
BELLE,HORDOR,,4
BELLE,BLIND_WITCH,,4
BELLE,HANSEL,,4
BELLE,GRETEL,,4
BELLE,WOODCUTTER,,4
BELLE,THATCHER,,4
BELLE,STEALTHY,,4
BELLE,LEOPOLD,,4
BELLE,MAURICE,,4
BELLE,NOVA,,4
BELLE,TOMKINS,,4
BELLE,PETER,,4
BELLE,DANIEL,,4
BELLE,CORA,,4
BELLE,AURORA,,4
BELLE,MULAN,,4
BELLE,PRINCE_PHILIP,,4
BELLE,WRAITH,,4
BELLE,LANCELOT,,4
BELLE,MILAH,,4
BELLE,SMEE,,4
BELLE,IGOR,,4
BELLE,VICTOR_FRANKENSTEIN,,4
BELLE,ANTON,,4
BELLE,ANITA_LUCAS,,4
BELLE,QUINN,,4
BELLE,CLAUDE,,4
BELLE,GREG_MENDELL,,4
BELLE,ALPHONSE_FRANKENSTEIN,,4
BELLE,GERHARDT_FRANKENSTEIN,,4
BELLE,ABRAHAM,,4
BELLE,ARLO,,4
BELLE,JACK,,4
BELLE,SEER,,4
BELLE,QUEEN_EVA,,4
BELLE,JOHANNA,,4
BELLE,TAMARA,,4
BELLE,KING_XAVIER,,4
BELLE,KURT_FLYNN,,4
BELLE,THE_DRAGON,,4
BELLE,SHERIFF_OF_NOTTINGHAM,,4
BELLE,MARIAN,,4
BELLE,ROBIN_HOOD,,4
BELLE,JOHN_DARLING,,4
BELLE,MICHAEL_DARLING,,4
BELLE,THE_SHADOW,,4
BELLE,WENDY,,4
BELLE,FELIX,,4
BELLE,TINKER_BELL,,4
BELLE,LIAM,,4
BELLE,DEVIN,,4
BELLE,ARIEL,,4
BELLE,URSULA,,4
BELLE,PRINCE_ERIC,,4
BELLE,ADOPTION_AGENT,,4
BELLE,MALCOLM,,4
BELLE,SHADOW,,4
BELLE,WALSH,,4
BELLE,RAPUNZEL,,4
BELLE,LUMIERE,,4
BELLE,BLACK_BEARD,,4
BELLE,JONATHAN,,4
BELLE,PRINCE_LEOPOLD,,4
BELLE,GLINDA,,4
BELLE,DOROTHY,,4
BELLE,ANNA,,4
BELLE,GERDA,,4
BELLE,GRAND_PABBIE,,4
BELLE,KRISTOFF,,4
BELLE,SVEN,,4
BELLE,BO_PEEP,,4
BELLE,INGRID,,4
BELLE,HANS,,4
BELLE,WILL_SCARLET,,4
BELLE,APPRENTICE,,4
BELLE,LILY_PAGE,,4
BELLE,LILYS_ADOPTIVE_FATHER,,4
BELLE,COLETTE,,4
BELLE,DUKE_OF_WESELTON,,4
BELLE,HELGA,,4
BELLE,MADAME_FAUSTINA,,4
BELLE,CRUELLA_DE_VIL,,4
BELLE,KING_STEFAN,,4
BELLE,POSEIDON,,4
BELLE,ISAAC_HELLER,,4
BELLE,MADELINE,,4
BELLE,MERLIN,,4
DAVID,EMMA,,4
DAVID,HENRY,,4
DAVID,REGINA,,4
DAVID,RUMPLE,,4
DAVID,SNOW,,4
DAVID,HOOK,,4
DAVID,PAN,,4
DAVID,ZELENA,,4
DAVID,PINOCCHIO,,4
DAVID,JIMINY,,4
DAVID,HUNTSMAN,,4
DAVID,RUBY,,4
DAVID,MIRROR,,4
DAVID,GRANNY,,4
DAVID,GRUMPY,,4
DAVID,GEORGE,,4
DAVID,ABIGAIL,,4
DAVID,CINDERELLA,,4
DAVID,THOMAS,,4
DAVID,WHALE,,4
DAVID,GEPPETTO,,4
DAVID,BLUE,,4
DAVID,JEFFERSON,,4
DAVID,MALEFICENT,,4
DAVID,PRINCE_HENRY,,4
DAVID,KING,,4
DAVID,MARTIN,,4
DAVID,MYRNA,,4
DAVID,RUTH,,4
DAVID,MIDAS,,4
DAVID,ZOSO,,4
DAVID,BEALFIRE,,4
DAVID,HORDOR,,4
DAVID,BLIND_WITCH,,4
DAVID,HANSEL,,4
DAVID,GRETEL,,4
DAVID,WOODCUTTER,,4
DAVID,THATCHER,,4
DAVID,STEALTHY,,4
DAVID,LEOPOLD,,4
DAVID,MAURICE,,4
DAVID,NOVA,,4
DAVID,TOMKINS,,4
DAVID,PETER,,4
DAVID,DANIEL,,4
DAVID,CORA,,4
DAVID,AURORA,,4
DAVID,MULAN,,4
DAVID,PRINCE_PHILIP,,4
DAVID,WRAITH,,4
DAVID,LANCELOT,,4
DAVID,MILAH,,4
DAVID,SMEE,,4
DAVID,IGOR,,4
DAVID,VICTOR_FRANKENSTEIN,,4
DAVID,ANTON,,4
DAVID,ANITA_LUCAS,,4
DAVID,QUINN,,4
DAVID,CLAUDE,,4
DAVID,GREG_MENDELL,,4
DAVID,ALPHONSE_FRANKENSTEIN,,4
DAVID,GERHARDT_FRANKENSTEIN,,4
DAVID,ABRAHAM,,4
DAVID,ARLO,,4
DAVID,JACK,,4
DAVID,SEER,,4
DAVID,QUEEN_EVA,,4
DAVID,JOHANNA,,4
DAVID,TAMARA,,4
DAVID,KING_XAVIER,,4
DAVID,KURT_FLYNN,,4
DAVID,THE_DRAGON,,4
DAVID,SHERIFF_OF_NOTTINGHAM,,4
DAVID,MARIAN,,4
DAVID,ROBIN_HOOD,,4
DAVID,JOHN_DARLING,,4
DAVID,MICHAEL_DARLING,,4
DAVID,THE_SHADOW,,4
DAVID,WENDY,,4
DAVID,FELIX,,4
DAVID,TINKER_BELL,,4
DAVID,LIAM,,4
DAVID,DEVIN,,4
DAVID,ARIEL,,4
DAVID,URSULA,,4
DAVID,PRINCE_ERIC,,4
DAVID,ADOPTION_AGENT,,4
DAVID,MALCOLM,,4
DAVID,SHADOW,,4
DAVID,WALSH,,4
DAVID,RAPUNZEL,,4
DAVID,LUMIERE,,4
DAVID,BLACK_BEARD,,4
DAVID,JONATHAN,,4
DAVID,PRINCE_LEOPOLD,,4
DAVID,GLINDA,,4
DAVID,DOROTHY,,4
DAVID,ANNA,,4
DAVID,GERDA,,4
DAVID,GRAND_PABBIE,,4
DAVID,KRISTOFF,,4
DAVID,SVEN,,4
DAVID,BO_PEEP,,4
DAVID,INGRID,,4
DAVID,HANS,,4
DAVID,WILL_SCARLET,,4
DAVID,APPRENTICE,,4
DAVID,LILY_PAGE,,4
DAVID,LILYS_ADOPTIVE_FATHER,,4
DAVID,COLETTE,,4
DAVID,DUKE_OF_WESELTON,,4
DAVID,HELGA,,4
DAVID,MADAME_FAUSTINA,,4
DAVID,CRUELLA_DE_VIL,,4
DAVID,KING_STEFAN,,4
DAVID,POSEIDON,,4
DAVID,ISAAC_HELLER,,4
DAVID,MADELINE,,4
DAVID,MERLIN,,4
EMMA,HENRY,,4
EMMA,REGINA,,4
EMMA,RUMPLE,,4
EMMA,SNOW,,4
EMMA,HOOK,,4
EMMA,PAN,,4
EMMA,ZELENA,,4
EMMA,PINOCCHIO,,4
EMMA,JIMINY,,4
EMMA,HUNTSMAN,,4
EMMA,RUBY,,4
EMMA,MIRROR,,4
EMMA,GRANNY,,4
EMMA,GRUMPY,,4
EMMA,GEORGE,,4
EMMA,ABIGAIL,,4
EMMA,CINDERELLA,,4
EMMA,THOMAS,,4
EMMA,WHALE,,4
EMMA,GEPPETTO,,4
EMMA,BLUE,,4
EMMA,JEFFERSON,,4
EMMA,MALEFICENT,,4
EMMA,PRINCE_HENRY,,4
EMMA,KING,,4
EMMA,MARTIN,,4
EMMA,MYRNA,,4
EMMA,RUTH,,4
EMMA,MIDAS,,4
EMMA,ZOSO,,4
EMMA,BEALFIRE,,4
EMMA,HORDOR,,4
EMMA,BLIND_WITCH,,4
EMMA,HANSEL,,4
EMMA,GRETEL,,4
EMMA,WOODCUTTER,,4
EMMA,THATCHER,,4
EMMA,STEALTHY,,4
EMMA,LEOPOLD,,4
EMMA,MAURICE,,4
EMMA,NOVA,,4
EMMA,TOMKINS,,4
EMMA,PETER,,4
EMMA,DANIEL,,4
EMMA,CORA,,4
EMMA,AURORA,,4
EMMA,MULAN,,4
EMMA,PRINCE_PHILIP,,4
EMMA,WRAITH,,4
EMMA,LANCELOT,,4
EMMA,MILAH,,4
EMMA,SMEE,,4
EMMA,IGOR,,4
EMMA,VICTOR_FRANKENSTEIN,,4
EMMA,ANTON,,4
EMMA,ANITA_LUCAS,,4
EMMA,QUINN,,4
EMMA,CLAUDE,,4
EMMA,GREG_MENDELL,,4
EMMA,ALPHONSE_FRANKENSTEIN,,4
EMMA,GERHARDT_FRANKENSTEIN,,4
EMMA,ABRAHAM,,4
EMMA,ARLO,,4
EMMA,JACK,,4
EMMA,SEER,,4
EMMA,QUEEN_EVA,,4
EMMA,JOHANNA,,4
EMMA,TAMARA,,4
EMMA,KING_XAVIER,,4
EMMA,KURT_FLYNN,,4
EMMA,THE_DRAGON,,4
EMMA,SHERIFF_OF_NOTTINGHAM,,4
EMMA,MARIAN,,4
EMMA,ROBIN_HOOD,,4
EMMA,JOHN_DARLING,,4
EMMA,MICHAEL_DARLING,,4
EMMA,THE_SHADOW,,4
EMMA,WENDY,,4
EMMA,FELIX,,4
EMMA,TINKER_BELL,,4
EMMA,LIAM,,4
EMMA,DEVIN,,4
EMMA,ARIEL,,4
EMMA,URSULA,,4
EMMA,PRINCE_ERIC,,4
EMMA,ADOPTION_AGENT,,4
EMMA,MALCOLM,,4
EMMA,SHADOW,,4
EMMA,WALSH,,4
EMMA,RAPUNZEL,,4
EMMA,LUMIERE,,4
EMMA,BLACK_BEARD,,4
EMMA,JONATHAN,,4
EMMA,PRINCE_LEOPOLD,,4
EMMA,GLINDA,,4
EMMA,DOROTHY,,4
EMMA,ANNA,,4
EMMA,GERDA,,4
EMMA,GRAND_PABBIE,,4
EMMA,KRISTOFF,,4
EMMA,SVEN,,4
EMMA,BO_PEEP,,4
EMMA,INGRID,,4
EMMA,HANS,,4
EMMA,WILL_SCARLET,,4
EMMA,APPRENTICE,,4
EMMA,LILY_PAGE,,4
EMMA,LILYS_ADOPTIVE_FATHER,,4
EMMA,COLETTE,,4
EMMA,DUKE_OF_WESELTON,,4
EMMA,HELGA,,4
EMMA,MADAME_FAUSTINA,,4
EMMA,CRUELLA_DE_VIL,,4
EMMA,KING_STEFAN,,4
EMMA,POSEIDON,,4
EMMA,ISAAC_HELLER,,4
EMMA,MADELINE,,4
EMMA,MERLIN,,4
HENRY,REGINA,,4
HENRY,RUMPLE,,4
HENRY,SNOW,,4
HENRY,HOOK,,4
HENRY,PAN,,4
HENRY,ZELENA,,4
HENRY,PINOCCHIO,,4
HENRY,JIMINY,,4
HENRY,HUNTSMAN,,4
HENRY,RUBY,,4
HENRY,MIRROR,,4
HENRY,GRANNY,,4
HENRY,GRUMPY,,4
HENRY,GEORGE,,4
HENRY,ABIGAIL,,4
HENRY,CINDERELLA,,4
HENRY,THOMAS,,4
HENRY,WHALE,,4
HENRY,GEPPETTO,,4
HENRY,BLUE,,4
HENRY,JEFFERSON,,4
HENRY,MALEFICENT,,4
HENRY,PRINCE_HENRY,,4
HENRY,KING,,4
HENRY,MARTIN,,4
HENRY,MYRNA,,4
HENRY,RUTH,,4
HENRY,MIDAS,,4
HENRY,ZOSO,,4
HENRY,BEALFIRE,,4
HENRY,HORDOR,,4
HENRY,BLIND_WITCH,,4
HENRY,HANSEL,,4
HENRY,GRETEL,,4
HENRY,WOODCUTTER,,4
HENRY,THATCHER,,4
HENRY,STEALTHY,,4
HENRY,LEOPOLD,,4
HENRY,MAURICE,,4
HENRY,NOVA,,4
HENRY,TOMKINS,,4
HENRY,PETER,,4
HENRY,DANIEL,,4
HENRY,CORA,,4
HENRY,AURORA,,4
HENRY,MULAN,,4
HENRY,PRINCE_PHILIP,,4
HENRY,WRAITH,,4
HENRY,LANCELOT,,4
HENRY,MILAH,,4
HENRY,SMEE,,4
HENRY,IGOR,,4
HENRY,VICTOR_FRANKENSTEIN,,4
HENRY,ANTON,,4
HENRY,ANITA_LUCAS,,4
HENRY,QUINN,,4
HENRY,CLAUDE,,4
HENRY,GREG_MENDELL,,4
HENRY,ALPHONSE_FRANKENSTEIN,,4
HENRY,GERHARDT_FRANKENSTEIN,,4
HENRY,ABRAHAM,,4
HENRY,ARLO,,4
HENRY,JACK,,4
HENRY,SEER,,4
HENRY,QUEEN_EVA,,4
HENRY,JOHANNA,,4
HENRY,TAMARA,,4
HENRY,KING_XAVIER,,4
HENRY,KURT_FLYNN,,4
HENRY,THE_DRAGON,,4
HENRY,SHERIFF_OF_NOTTINGHAM,,4
HENRY,MARIAN,,4
HENRY,ROBIN_HOOD,,4
HENRY,JOHN_DARLING,,4
HENRY,MICHAEL_DARLING,,4
HENRY,THE_SHADOW,,4
HENRY,WENDY,,4
HENRY,FELIX,,4
HENRY,TINKER_BELL,,4
HENRY,LIAM,,4
HENRY,DEVIN,,4
HENRY,ARIEL,,4
HENRY,URSULA,,4
HENRY,PRINCE_ERIC,,4
HENRY,ADOPTION_AGENT,,4
HENRY,MALCOLM,,4
HENRY,SHADOW,,4
HENRY,WALSH,,4
HENRY,RAPUNZEL,,4
HENRY,LUMIERE,,4
HENRY,BLACK_BEARD,,4
HENRY,JONATHAN,,4
HENRY,PRINCE_LEOPOLD,,4
HENRY,GLINDA,,4
HENRY,DOROTHY,,4
HENRY,ANNA,,4
HENRY,GERDA,,4
HENRY,GRAND_PABBIE,,4
HENRY,KRISTOFF,,4
HENRY,SVEN,,4
HENRY,BO_PEEP,,4
HENRY,INGRID,,4
HENRY,HANS,,4
HENRY,WILL_SCARLET,,4
HENRY,APPRENTICE,,4
HENRY,LILY_PAGE,,4
HENRY,LILYS_ADOPTIVE_FATHER,,4
HENRY,COLETTE,,4
HENRY,DUKE_OF_WESELTON,,4
HENRY,HELGA,,4
HENRY,MADAME_FAUSTINA,,4
HENRY,CRUELLA_DE_VIL,,4
HENRY,KING_STEFAN,,4
HENRY,POSEIDON,,4
HENRY,ISAAC_HELLER,,4
HENRY,MADELINE,,4
HENRY,MERLIN,,4
REGINA,RUMPLE,,4
REGINA,SNOW,,4
REGINA,HOOK,,4
REGINA,PAN,,4
REGINA,ZELENA,,4
REGINA,PINOCCHIO,,4
REGINA,JIMINY,,4
REGINA,HUNTSMAN,,4
REGINA,RUBY,,4
REGINA,MIRROR,,4
REGINA,GRANNY,,4
REGINA,GRUMPY,,4
REGINA,GEORGE,,4
REGINA,ABIGAIL,,4
REGINA,CINDERELLA,,4
REGINA,THOMAS,,4
REGINA,WHALE,,4
REGINA,GEPPETTO,,4
REGINA,BLUE,,4
REGINA,JEFFERSON,,4
REGINA,MALEFICENT,,4
REGINA,PRINCE_HENRY,,4
REGINA,KING,,4
REGINA,MARTIN,,4
REGINA,MYRNA,,4
REGINA,RUTH,,4
REGINA,MIDAS,,4
REGINA,ZOSO,,4
REGINA,BEALFIRE,,4
REGINA,HORDOR,,4
REGINA,BLIND_WITCH,,4
REGINA,HANSEL,,4
REGINA,GRETEL,,4
REGINA,WOODCUTTER,,4
REGINA,THATCHER,,4
REGINA,STEALTHY,,4
REGINA,LEOPOLD,,4
REGINA,MAURICE,,4
REGINA,NOVA,,4
REGINA,TOMKINS,,4
REGINA,PETER,,4
REGINA,DANIEL,,4
REGINA,CORA,,4
REGINA,AURORA,,4
REGINA,MULAN,,4
REGINA,PRINCE_PHILIP,,4
REGINA,WRAITH,,4
REGINA,LANCELOT,,4
REGINA,MILAH,,4
REGINA,SMEE,,4
REGINA,IGOR,,4
REGINA,VICTOR_FRANKENSTEIN,,4
REGINA,ANTON,,4
REGINA,ANITA_LUCAS,,4
REGINA,QUINN,,4
REGINA,CLAUDE,,4
REGINA,GREG_MENDELL,,4
REGINA,ALPHONSE_FRANKENSTEIN,,4
REGINA,GERHARDT_FRANKENSTEIN,,4
REGINA,ABRAHAM,,4
REGINA,ARLO,,4
REGINA,JACK,,4
REGINA,SEER,,4
REGINA,QUEEN_EVA,,4
REGINA,JOHANNA,,4
REGINA,TAMARA,,4
REGINA,KING_XAVIER,,4
REGINA,KURT_FLYNN,,4
REGINA,THE_DRAGON,,4
REGINA,SHERIFF_OF_NOTTINGHAM,,4
REGINA,MARIAN,,4
REGINA,ROBIN_HOOD,,4
REGINA,JOHN_DARLING,,4
REGINA,MICHAEL_DARLING,,4
REGINA,THE_SHADOW,,4
REGINA,WENDY,,4
REGINA,FELIX,,4
REGINA,TINKER_BELL,,4
REGINA,LIAM,,4
REGINA,DEVIN,,4
REGINA,ARIEL,,4
REGINA,URSULA,,4
REGINA,PRINCE_ERIC,,4
REGINA,ADOPTION_AGENT,,4
REGINA,MALCOLM,,4
REGINA,SHADOW,,4
REGINA,WALSH,,4
REGINA,RAPUNZEL,,4
REGINA,LUMIERE,,4
REGINA,BLACK_BEARD,,4
REGINA,JONATHAN,,4
REGINA,PRINCE_LEOPOLD,,4
REGINA,GLINDA,,4
REGINA,DOROTHY,,4
REGINA,ANNA,,4
REGINA,GERDA,,4
REGINA,GRAND_PABBIE,,4
REGINA,KRISTOFF,,4
REGINA,SVEN,,4
REGINA,BO_PEEP,,4
REGINA,INGRID,,4
